Id,SalePrice
2658,77176.55117233362
2718,209394.96267124685
2414,214681.60899798112
1989,115120.39975357502
625,163682.65412006213
333,104754.53915186292
1327,110192.35078089582
858,146266.166593161
95,184024.12087093084
1568,137382.02478894338
2482,116040.93112878327
1364,149326.64171951805
2584,159671.73169691424
818,242262.36529904327
2673,228817.93730204453
2089,117878.08210634452
1297,137290.29361865117
790,152337.67000052048
2616,198833.4563903454
720,186136.27386461679
222,192711.021759833
557,168482.0761070928
1148,162464.12708428182
2766,120441.09670298386
534,179778.33278319336
1452,104601.68243186148
630,174600.35403997626
2648,156985.54283698113
125,150891.54725077134
1904,88246.77039109466
1670,104052.60688362949
756,130215.30930660877
717,188343.41225573004
1032,173134.7988830186
852,231343.84550291198
1731,186160.54229330007
2639,145501.17187082954
2071,78893.67330050217
1267,58033.88230719557
1851,190609.79750830756
567,161377.15012568037
2439,230748.7622390262
1898,171564.80928350496
647,157409.86512325698
2256,178998.27368647183
979,125166.92107656895
1444,243255.26495433028
2485,105199.81749382218
157,144029.5135235683
88,190158.91618145362
2003,158199.21605418873
186,172544.87125877998
1425,254526.74097513597
2695,180039.3050768398
738,125431.6050438155
395,150213.00537389168
1353,221307.20967661752
1878,168189.37030792233
390,156164.26263708793
1456,252693.28225894063
1103,280919.847983407
1387,163350.81700952392
2070,181338.8706219983
1199,171781.3145018432
2479,176577.83474447587
501,266223.1274572676
2362,94858.94920625025
1718,187743.3678438245
2188,92593.38397298021
1483,137762.48546286573
2557,105278.14509469549
437,326579.5626966563
2224,162769.01760392878
1628,166314.00187076174
397,125210.65027177434
587,210672.11234707746
2182,511424.984419968
971,97813.99802528757
2611,154672.68519638706
1887,53367.94296914553
2399,322604.47994725395
2148,231181.71339697135
304,145257.56482020993
1997,141940.6675276436
2817,139318.67822292668
1431,193810.81028383118
427,318118.5319628462
263,118613.17077959306
598,170215.17148787907
2895,211823.6928328749
687,178578.80930832546
1822,192666.9770212918
2191,139563.22093028732
179,149605.28963219514
1009,189885.903498521
2010,191313.28028680183
1991,155017.86802708538
1411,194717.6545851675
1721,218782.07597537496
1144,195077.33348879672
593,236357.643168239
575,312174.23770233593
1249,159754.81452837755
1604,92690.22091481226
1064,391583.344407563
1923,153195.83305990105
1988,113947.62136108984
2325,185990.16237858371
114,247525.936337342
2700,226382.9498009095
217,199538.21237808434
343,181038.55897232328
386,269094.6188982261
2005,69684.59333895624
2908,129562.97407419846
1814,217834.7077481751
2446,378067.6508126833
208,117740.85800544755
1679,124493.42429693727
822,306912.4666315722
6,208372.69326165863
