,station,date,tavg,preciptotal,sealevel,resultspeed,resultdir,rel_hum,trap,nummosquitos,wnvpresent,tot_mos_species,species_PIPIENS,species_PIPIENS/RESTUANS,species_RESTUANS,latitude,longitude,year_2009,year_2011,year_2013,mnth_sin,mnth_cos,year_2010,year_2012,year_2014
0,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T002,1,0,1,0,1,0,41.95469,-87.800991,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
1,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T002,1,0,1,0,0,1,41.95469,-87.800991,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
2,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T007,1,0,1,0,0,1,41.994991,-87.769279,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
3,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T015,1,0,1,0,1,0,41.974089,-87.824812,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
4,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T015,4,0,4,0,0,1,41.974089,-87.824812,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
5,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T045,2,0,2,0,0,1,41.9216,-87.666455,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
6,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T046,1,0,1,0,0,1,41.891118,-87.65449100000002,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
7,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T049,1,0,1,0,0,1,41.896282,-87.655232,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
8,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T050,1,0,1,0,1,0,41.919343,-87.694259,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
9,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T054,2,0,2,0,1,0,41.921965,-87.632085,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
10,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T054,3,0,3,0,0,1,41.921965,-87.632085,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
11,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T129,1,0,1,0,1,0,41.891126,-87.61156,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
12,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T129,2,0,2,0,0,1,41.891126,-87.61156,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
13,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T143,1,0,1,0,1,0,41.999129,-87.795585,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
14,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T148,1,0,1,0,1,0,42.01743,-87.68776899999997,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
15,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.893158672766965,T153,1,0,1,0,0,1,41.907645,-87.760886,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
16,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.32008263914474,T048,1,0,1,0,1,0,41.867108,-87.654224,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
17,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.32008263914474,T048,2,0,2,0,0,1,41.867108,-87.654224,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
18,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.32008263914474,T086,1,0,1,0,1,0,41.688324,-87.676709,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
19,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.32008263914474,T086,1,0,1,0,0,1,41.688324,-87.676709,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
20,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.32008263914474,T091,1,0,1,0,0,1,41.862292,-87.64886,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
21,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.32008263914474,T094,3,0,3,0,0,1,41.720848,-87.666014,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
22,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.32008263914474,T096,5,0,5,0,0,1,41.731922,-87.677512,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
23,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.32008263914474,T096,1,0,1,1,0,0,41.731922,-87.677512,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
24,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.32008263914474,T159,1,0,1,0,0,1,41.732984,-87.649642,0,0,0,0.8660254037844388,-0.4999999999999998,0,0,0
25,1,2007-06-05,56.0,0.42,29.79,5.2,5,74.94648694408086,T002,3,0,3,0,1,0,41.95469,-87.800991,0,0,0,0.5000000000000003,-0.8660254037844385,0,0,0
26,1,2007-06-05,56.0,0.42,29.79,5.2,5,74.94648694408086,T002,5,0,5,0,0,1,41.95469,-87.800991,0,0,0,0.5000000000000003,-0.8660254037844385,0,0,0
27,1,2007-06-05,56.0,0.42,29.79,5.2,5,74.94648694408086,T002,1,0,1,1,0,0,41.95469,-87.800991,0,0,0,0.5000000000000003,-0.8660254037844385,0,0,0
